"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"50",50,"Bradypus tridactylus",2018,-59.972663,-3.051539,1,"Bradypus tridactylus",0.0236574432504039,0,0,0,0.883890436785658,0,0.0760850146251549,0,0,0,0,0,0,0,4
"51",51,"Bradypus tridactylus",2015,-59.987812,-3.097481,1,"Bradypus tridactylus",0.0266999933971058,0,0.00722277953546697,0,0.785692469572743,0.00662381944292854,0.142218680854153,0,0,0,0,0,0,0,4
"52",52,"Bradypus tridactylus",2018,-60.046095,-3.069514,1,"Bradypus tridactylus",0,0,0,0,0.96083298716682,0,0.0293235026154163,0,0,0,0,0,0,0,4
"53",53,"Bradypus tridactylus",2018,-59.986331,-3.097612,1,"Bradypus tridactylus",0.0266999933971058,0,0.00722277953546697,0,0.716289024745892,0.00673584478759766,0.221847804858203,0,0,0,0,0,0,0,4
"54",54,"Bradypus tridactylus",2018,-59.065287,4.222191,1,"Bradypus tridactylus",0,0,0,0,0,0,0.982390299696985,0,0,0,0,0,0,0,5
"55",55,"Bradypus tridactylus",2018,-59.34123,3.600205,1,"Bradypus tridactylus",0,0,0.012436542294132,0,0,0.401047978135075,0.561316618156209,0.0162132800005745,0,0,0,0,0,0,5
"56",56,"Bradypus tridactylus",2018,-58.893466,4.235446,1,"Bradypus tridactylus",0,0,0,0,0,0,0.977398396513579,0,0,0,0,0,0,0,5
"57",57,"Bradypus tridactylus",2018,-56.199168,5.095888,1,"Bradypus tridactylus",0,0,0,0,0,0,0.981087395896284,0,0,0,0,0,0,0,5
"58",58,"Bradypus tridactylus",2018,-55.239568,5.698873,1,"Bradypus tridactylus",0.482687979947176,0.429066308876731,0,0.0375280144875266,0.0164184522705078,0.00578289265950521,0,0,0,0,0,0,0,0,5
"59",59,"Bradypus tridactylus",2017,-55.390843,4.646538,1,"Bradypus tridactylus",0,0,0,0,0,0,0.978727636230477,0,0,0,0,0,0,0,5
"60",60,"Bradypus tridactylus",2017,-55.165104,5.82064,1,"Bradypus tridactylus",0.069703790094549,0,0,0.0933153824740323,0.645282459927647,0.00266848248291016,0,0.159866005704013,0,0,0,0,0,0,5
"61",61,"Bradypus tridactylus",2017,-56.014207,5.789108,1,"Bradypus tridactylus",0.0437208630301246,0.907363366540642,0,0,0,0.0277516025959634,0,0,0,0,0,0,0,0,5
"62",62,"Bradypus tridactylus",2017,-60.038909,-2.653622,1,"Bradypus tridactylus",0.157071230898172,0,0.0172756718899487,0,0,0.0008930390625,0.796233207826554,0,0,0,0,0,0,0,4
"63",63,"Bradypus tridactylus",2017,-55.444992,4.064953,1,"Bradypus tridactylus",0,0,0,0,0,0,0.878982535222027,0.0997894742649888,0,0,0,0,0,0,5
"64",64,"Bradypus tridactylus",2017,-52.001094,0.900172,1,"Bradypus tridactylus",0.0498191825018626,0,0.239497624485064,0,0.274041235599837,0,0.400827210356089,0,0,0,0,0,0,0,1
"65",65,"Bradypus tridactylus",2017,-52.36361,4.90715,1,"Bradypus tridactylus",0,0.0358135541635116,0,0.0131064838882985,0.0354896528828177,0.00581245471989251,0,0.846859576714532,0.00278542920692158,0.0402751565551105,0,0,0,0,1
"66",66,"Bradypus tridactylus",2017,-55.334621,4.665658,1,"Bradypus tridactylus",0,0,0,0,0,0,0.970398845947276,0,0,0,0,0,0,0,5
"67",67,"Bradypus tridactylus",2017,-55.140847,5.034908,1,"Bradypus tridactylus",0.0161940376373092,0,0.0474310245802827,0.0365152250310724,0,0.00524624027568742,0.858119478262301,0.0149624011474609,0,0,0,0,0,0,5
"68",68,"Bradypus tridactylus",2017,-55.221263,5.86297,1,"Bradypus tridactylus",0.427532273674134,0.473543189937488,0,0.00652247330729167,0.00962199472878196,0.0510635876676998,0,0.00331514675071023,0,0,0,0,0,0,5
"69",69,"Bradypus tridactylus",2017,-58.906281,4.245277,1,"Bradypus tridactylus",0,0,0.0106990258678089,0,0,0,0.958740044416685,0,0,0,0,0,0,0,5
"70",70,"Bradypus tridactylus",2016,-52.595957,5.112143,1,"Bradypus tridactylus",0.058385334105662,0.757760415200368,0,0,0,0.106447589151148,0,0,0,0.056164936967199,0,0,0,0,1
