"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"49",49,"Marmosops noctivagus",1986,-76.43668,-0.25715,1,24.8820139514513,3601.211061588,0.089607603,0.876415873,0,0,0,0,0,0,0,0,0,0,0,0,1
"50",50,"Marmosops noctivagus",1986,-70.4444,-13.72481,1,12.2766356566315,3033.3219511558,0,0.522317883,0.060285933,0,0.018023109,0,0.453509266,0.002494814,0,0,0,0,0,0,3
"51",51,"Marmosops noctivagus",1985,-69.22136,-14.20604,1,15.5559758588302,2367.25396678073,0.038714945,0.907275171,0.0084999,0,0,0,0.003469335,0.013719733,0,0,0,0,0,0,3
"52",52,"Marmosops noctivagus",1986,-67.566667,-11.416667,1,25.2763571504687,1988.97741298988,0,0.749371607,0,0.224542175,0,0,0,0,0,0,0,0,0,0,3
"53",53,"Marmosops noctivagus",1986,-68.233333,-12.133333,1,25.3479662493241,1945.08680460276,0,0.563373943,0,0.410527056,0.004673097,0,0,0.002623604,0,0,0,0,0,0,3
"54",54,"Marmosops noctivagus",1986,-68.24,-12.13,1,25.3500003814697,1957.29079065244,0,0.20125034,0,0.773039276,0,0,0,0.005247217,0.010951643,0,0,0,0,0,3
"55",55,"Marmosops noctivagus",1986,-70.56,-11.42,1,24.2380898322588,1694.23857462063,0,0.969515822,0,0,0,0,0,0,0,0,0,0,0,0,3
"56",56,"Marmosops noctivagus",1986,-67.58333,-15.63333,1,19.0277757526916,2358.76091097608,0.029422478,0.959410048,0,0,0,0,0,0,0,0,0,0,0,0,3
"57",57,"Marmosops noctivagus",1985,-71.55445,-13.06368,1,17.5142035444906,2935.30798945151,0.004139246,0.946991664,0.012279323,0,0.006756192,0,0.004357101,0,0,0,0,0,0,0,3
"58",58,"Marmosops noctivagus",1985,-71.25,-12.9333,1,20.7002973909731,3720.51968898695,0,0.983478032,0,0,0,0,0,0,0,0,0,0,0,0,3
"59",59,"Marmosops noctivagus",1984,-69.07289,-12.6,1,25.0147606649517,2242.93481445312,0.022310841,0.001311235,0.006897794,0.411498643,0.545504122,0,0,0,0,0,0,0,0,0,3
"60",60,"Marmosops noctivagus",1984,-68.81967,-12.46667,1,25.0732773000544,2154.02252247708,0,0.54351076,0,0.426317594,0,0,0,0,0,0,0,0,0,0,3
"61",61,"Marmosops noctivagus",1984,-71.2,-12.9,1,21.4357656132091,3840.34973245416,0,0.972621992,0,0,0,0,0,0,0,0,0,0,0,0,3
"62",62,"Marmosops noctivagus",1984,-72.706,-3.199,1,25.1076165591038,3723.53947075175,0,0.972062305,0,0,0,0,0,0,0,0,0,0,0,0,1
"63",63,"Marmosops noctivagus",1983,-76.32222,-0.053333,1,24.7370314121246,3774.83397216797,0.005712673,0.986910121,0,0,0,0,0,0,0,0,0,0,0,0,1
"64",64,"Marmosops noctivagus",1979,-67.550003,-15.46667,1,23.2689721299788,1993.84985251093,0.037836934,0.941192931,0,0,0,0,0.006036871,0,0,0,0,0,0,0,3
"65",65,"Marmosops noctivagus",1979,-67.76667,-16.35,1,15.6501800857606,1838.6776118044,0.022147791,0.965977502,0,0,0.00572489,0,0,0,0,0,0,0,0,0,3
"66",66,"Marmosops noctivagus",1979,-65.8,-11.08333,1,25.4863128582966,1773.47029943189,0,0.971063507,0,0.003510892,0,0,0,0,0,0,0,0,0,0,3
"67",67,"Marmosops noctivagus",1978,-67.5,-15.66667,1,18.3597695150493,2524.88898835359,0.010080768,0.957555376,0,0,0,0,0,0,0,0,0,0,0,0,3
"68",68,"Marmosops noctivagus",1976,-68.68,-9.08,1,25.4500007629395,1917.74174936382,0.378081445,0.125884818,0,0,0,0.431497365,0,0.026082246,0,0,0,0,0,0,3
