system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,species,year,.geo
000000000000000000b4,1383.1681008260762,5.755812486664194,0,181,Calomys sorellus,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-74.20436769428211,-13.840985713363942],[-74.1951607415936,-13.840985713363942],[-74.1951607415936,-13.831988576542559],[-74.20436769428211,-13.831988576542559],[-74.20436769428211,-13.840985713363942]]]}"
0000000000000000008d,1931.8139445831173,25.850000381469727,0,142,Dasypus kappleri,background species,2020,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-58.20424686781343,4.159013999825072],[-58.19528342863013,4.159013999825072],[-58.19528342863013,4.168011136689778],[-58.20424686781343,4.168011136689778],[-58.20424686781343,4.159013999825072]]]}"
00000000000000000055,2615.872643025716,25.973168349266054,0,86,Neacomys guianae,background species,1976,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.20423307713612,-0.8409849295940333],[-57.19529233957125,-0.8409849295940333],[-57.19529233957125,-0.8319877927411928],[-57.20423307713612,-0.8319877927411928],[-57.20423307713612,-0.8409849295940333]]]}"
0000000000000000005d,2369.5210784786527,24.25,0,94,Oecomys phaeotis,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.20434778814779,-12.840983252019619],[-70.19517885201037,-12.840983252019619],[-70.19517885201037,-12.831986115195733],[-70.20434778814779,-12.831986115195733],[-70.20434778814779,-12.840983252019619]]]}"
0000000000000000007d,2497.749825032552,25.70113849639893,0,126,Saimiri collinsi,background species,1982,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-56.20424007522503,-2.840985393181888],[-56.19528932391302,-2.840985393181888],[-56.19528932391302,-2.8319882563337915],[-56.20424007522503,-2.8319882563337915],[-56.20424007522503,-2.840985393181888]]]}"
0000000000000000009a,2629.532002682508,25.856438545765226,0,155,Saimiri collinsi,background species,2008,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.20423489573731,-1.840982931837435],[-57.195290516592756,-1.840982931837435],[-57.195290516592756,-1.831985794986965],[-57.20423489573731,-1.831985794986965],[-57.20423489573731,-1.840982931837435]]]}"
0000000000000000007c,3772.0170545341557,3.64936582017536,0,125,Abrothrix jelskii,background species,2015,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.20436676709691,-13.840985713363944],[-70.1951598144084,-13.840985713363944],[-70.1951598144084,-13.831988576542559],[-70.20436676709691,-13.831988576542559],[-70.20436676709691,-13.840985713363944]]]}"
00000000000000000081,1271.5858139226468,1.7310147614145475,0,130,Abrothrix jelskii,background species,1987,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-72.20438777975359,-14.840983715607189],[-72.19513966533303,-14.840983715607189],[-72.19513966533303,-14.83198657878833],[-72.20438777975359,-14.83198657878833],[-72.20438777975359,-14.840983715607189]]]}"
00000000000000000085,769.9555881687853,8.239163390925672,0,134,Akodon albiventer,background species,1983,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-66.20448500927058,-18.840984642782036],[-66.19503934810322,-18.840984642782036],[-66.19503934810322,-18.83198750597353],[-66.20448500927058,-18.83198750597353],[-66.20448500927058,-18.840984642782036]]]}"
000000000000000000b0,769.9555881687853,8.239163390925672,0,177,Akodon albiventer,background species,1983,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-66.20448500927058,-18.840984642782036],[-66.19503934810322,-18.840984642782036],[-66.19503934810322,-18.83198750597353],[-66.20448500927058,-18.83198750597353],[-66.20448500927058,-18.840984642782036]]]}"
