row_code,farming,forest_formation,other_non_vegetated,flooded_forest,river_lake_ocean,urban,non_forested_natural,grassland,wetland,mining,savannah_formation,mangrove,not_observed,glacier
113,0.021830289,0.025051845,0,0.673882549,0.264410439,0,0,0,0,0,0,0,0,0
114,0.640572511,0.164895706,0,0,0,0.180366926,0,0,0,0,0,0,0,0
115,0.258835175,0.127237275,0,0,0.299041589,0.179676956,0,0.097623348,0,0,0,0,0,0
116,0.128461872,0.861631146,0,0,0,0,0,0,0,0,0,0,0,0
117,0.05067205,0.016510445,0,0.036170109,0.133128297,0,0,0.337956988,0.405874412,0,0,0,0,0
118,0.651614817,0.11516801,0.006759103,0,0,0.200249562,0,0,0,0,0,0,0,0
119,0,0.972147839,0,0,0.004467216,0,0,0,0,0,0,0,0,0
120,0.053077133,0.900820018,0,0,0,0,0.024992553,0,0,0,0,0,0,0
121,0.032983314,0.946349679,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0.969982998,0,0,0,0,0,0,0,0,0,0,0,0
123,0.145840526,0.153209204,0.011691142,0.547731428,0,0.068750141,0,0.004453775,0.044051839,0,0,0.000890758,0,0
124,0,0,0.010145155,0,0.003669289,0,0,0.123915687,0,0,0,0,0,0
125,0.006070344,0.94066697,0.010081319,0,0.023009958,0,0,0,0,0,0,0,0,0
126,0,0,0.445971759,0,0,0,0,0.092525533,0.005812317,0,0,0,0,0
127,0.523927304,0.441914446,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0.955207329,0.013366678,0,0,0,0,0,0,0,0,0,0,0
129,0.311992577,0,0.024447483,0.588531565,0,0.048564904,0,0,0.014580584,0,0,0,0,0
130,0.025054808,0.234719496,0.0051535,0.229928357,0.483534683,0,0,0,0,0,0,0,0,0
131,0,0.844738231,0,0.130874895,0,0,0,0,0,0,0,0,0,0
132,0,0.900899306,0.067423041,0,0.000886833,0,0,0.013856733,0,0,0,0,0,0
133,0,0.975440035,0,0,0,0,0,0,0.009125564,0,0,0,0,0
134,0,0.978682652,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0.990299392,0,0,0,0,0,0,0,0,0,0,0,0
136,0.596429771,0.3855426,0,0,0,0,0,0,0,0,0,0,0,0
137,0.091039393,0.072901419,0,0.817571406,0.003072047,0,0,0.003898947,0,0,0,0,0,0
138,0.856527599,0.112180874,0,0,0,0,0,0,0,0,0,0,0,0
139,0.010606354,0.970367625,0,0,0,0,0,0,0,0,0,0,0,0
140,0.160515465,0.817847406,0,0,0,0,0,0,0,0,0,0,0,0
