system:index,area,class,row_code,year,.geo
0_000000000000000000f8_0_1,0.05814640798268035,6,249,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f8_0_2,0.008696326965332032,12,249,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f8_0_3,0.06783089526367189,25,249,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f8_0_4,0.07741124095865881,33,249,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000177_0_0,0.9681434214932276,3,376,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010a_0_0,0.045206437377929704,3,267,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010a_0_1,0.9200855256347611,6,267,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000154_0_0,0.6300898242019939,3,341,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000154_0_1,0.05055852791628368,12,341,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000154_0_2,0.0026635343017578127,14,341,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000154_0_3,0.28194460060005877,33,341,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000164_0_0,0.8801534397257439,14,357,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000164_0_1,0.10882841566162106,33,357,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a5_0_0,0.8090676616416824,3,422,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a5_0_1,0.003325211422190947,12,422,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a5_0_2,0.1640136362735523,33,422,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb_0_0,0.6629176204534802,3,252,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb_0_1,0.31484629022216815,14,252,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000140_0_0,0.4073996796793618,3,321,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000140_0_1,0.12265049183349618,6,321,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000140_0_2,0.007975604036458334,11,321,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000140_0_3,0.4303977181396489,33,321,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010d_0_0,0.20795545517578154,3,270,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010d_0_1,0.3909882524332694,6,270,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010d_0_2,0.3764366819252178,33,270,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000173_0_0,0.7194764692993129,3,372,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000173_0_1,0.24498235174560545,14,372,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e1_0_0,0.7528335146628035,3,226,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e1_0_1,0.22402785561236174,14,226,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ff_0_0,0.9853655692490462,3,256,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ff_0_1,0.005990071044921875,14,256,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016f_0_0,0.18957996283677023,3,368,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016f_0_1,0.17778941189874428,12,368,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016f_0_2,0.5867673312988276,13,368,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016f_0_3,0.01450555865478516,14,368,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001d6_0_0,0.9712483817251119,3,471,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a8_0_0,0.9376480998161791,3,425,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a8_0_1,0.0050209391084558835,12,425,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a8_0_2,0.03336840470257927,33,425,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fe_0_0,0.5981861906103965,3,255,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fe_0_1,0.350838518699977,14,255,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fe_0_2,0.013869891350241267,25,255,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fe_0_3,0.008673003019445083,33,255,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c4_0_0,0.9733842562866238,3,453,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000144_0_0,0.9786747906206927,3,325,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000be_0_0,0.9754188209944176,3,191,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b4_0_0,0.6519460617809795,3,437,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001b4_0_1,0.3235640665070177,14,437,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000155_0_0,0.9849234372608914,3,342,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001ce_0_0,0.9755856101181902,3,463,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016c_0_0,0.7689690510304177,3,365,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016c_0_1,0.20698959580125997,33,365,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014c_0_0,0.9827960120236864,3,333,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f5_0_0,0.9086825588479428,3,246,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f5_0_1,0.08163828737410006,14,246,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e3_0_0,0.9900614745550366,3,228,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012f_0_0,0.20739365197897489,6,304,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012f_0_1,0.48498564116976933,14,304,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012f_0_2,0.2871224099465754,33,304,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bd_0_0,0.9170010790845678,3,190,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bd_0_1,0.014236068725585938,13,190,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bd_0_2,0.03552395524734797,14,190,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000149_0_0,0.9713648287963839,6,330,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013d_0_0,0.9698849558653588,3,318,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
