scientificName,year,lon,lat,presence,row_code,species
Leopardus pardalis,2021,-69.1997710,-8.8364870,0,183,background species
Cebus olivaceus,2007,-63.1997710,6.1635130,0,184,background species
Uroderma magnirostrum,2021,-69.1997710,-7.8364870,0,185,background species
Aotus vociferans,2013,-77.1997710,-4.8364870,0,186,background species
Sapajus apella,2022,-65.1997710,-2.8364870,0,187,background species
Saguinus imperator,2022,-68.1997710,-9.8364870,0,188,background species
Aotus miconax,2019,-77.1997710,-8.8364870,0,189,background species
Cacajao hosomi,1995,-66.1997710,0.1635130,0,190,background species
Coendou prehensilis,2020,-68.1997710,-8.8364870,0,191,background species
Oecomys roberti,2021,-52.1997710,-3.8364870,0,192,background species
