system:index,area,class,territory,year,.geo
0_67_0,0.021824624633789067,14,71,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68_0,0.004361728210449218,3,72,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68_1,0.00261704296875,25,72,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68_2,0.0069787693481445316,33,72,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69_0,0.014857762207031253,3,73,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69_1,0.006991881652832031,25,73,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70_0,0.013950164550781246,6,74,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71_0,0.014853727600097651,3,76,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71_1,0.0026212399291992185,14,76,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72_0,0.01749212524414062,14,77,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73_0,0.01749378295898437,3,78,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_74_0,0.014846596862792969,6,79,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_74_1,0.002619982482910156,14,79,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_75_0,0.015724001342773436,3,80,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_75_1,0.006114886901855468,14,80,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_76_0,0.014047239013671872,3,81,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_77_0,0.014043695800781249,3,82,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_78_0,0.006111733825683595,3,83,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_78_1,0.007857937988281249,14,83,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_78_2,0.0034924134521484374,25,83,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_79_0,8.721282348632813E-4,3,84,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_79_1,0.01220977331542969,6,84,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_80_0,0.017478089111328126,3,85,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_81_0,0.016572714843749996,3,86,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_81_1,8.722467041015625E-4,33,86,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82_0,0.008723019653320313,3,87,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82_1,0.008723033813476564,25,87,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_83_0,0.017442938842773443,3,89,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84_0,8.74776123046875E-4,3,91,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84_1,0.009622521972656253,33,91,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_85_0,8.730172119140625E-4,14,92,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_85_1,0.016587353271484376,30,92,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_86_0,0.020078740539550773,14,93,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_86_1,0.0017459735107421875,30,93,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87_0,0.013957162597656253,6,94,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88_0,0.014047755615234376,3,95,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88_1,0.0035119349365234378,6,95,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
