system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,year,.geo
000000000000000000e1,1862.9723248442342,18.311080412431195,0,226,Marmosops impavidus,1986,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.43397110776382,-11.17383684566667],[-75.42485872319448,-11.17383684566667],[-75.42485872319448,-11.164839708838658],[-75.43397110776382,-11.164839708838658],[-75.43397110776382,-11.17383684566667]]]}"
000000000000000000f0,2021.0573379516602,26.331774139404295,0,241,Uroderma magnirostrum,1986,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.368194887987244,-3.63743435053807],[-52.359237101815786,-3.63743435053807],[-52.359237101815786,-3.628437213691867],[-52.368194887987244,-3.628437213691867],[-52.368194887987244,-3.63743435053807]]]}"
000000000000000000e5,1788.5275373615202,23.75,0,230,Ctenomys boliviensis,1988,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.15839809836732,-17.373935937101137],[-63.14903117634028,-17.373935937101137],[-63.14903117634028,-17.36493880028878],[-63.15839809836732,-17.36493880028878],[-63.15839809836732,-17.373935937101137]]]}"
000000000000000000c8,2381.1386849899923,25.491073435003106,0,201,Sciurus spadiceus,1991,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.81911695088597,-6.7914367894517635],[-70.81011407726274,-6.7914367894517635],[-70.81011407726274,-6.782439652613097],[-70.81911695088597,-6.782439652613097],[-70.81911695088597,-6.7914367894517635]]]}"
00000000000000000083,2074.439363978216,25.049999237060547,0,132,Lonchophylla thomasi,1992,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-60.45242144684442,7.343463180731607],[-60.443407639669346,7.343463180731607],[-60.443407639669346,7.352460317603938],[-60.45242144684442,7.352460317603938],[-60.45242144684442,7.343463180731607]]]}"
000000000000000000a7,2527.0171808961964,8.544035321376363,0,168,Nephelomys keaysi,1992,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-67.85616885908377,-16.319835661776633],[-67.8468539619263,-16.319835661776633],[-67.8468539619263,-16.31083852496155],[-67.85616885908377,-16.31083852496155],[-67.85616885908377,-16.319835661776633]]]}"
000000000000000000eb,1702.6913788981456,25.976441561433784,0,236,Myotis albescens,1992,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-57.33160385005777,5.318264337090846],[-57.32262535035803,5.318264337090846],[-57.32262535035803,5.327261473958317],[-57.33160385005777,5.327261473958317],[-57.33160385005777,5.318264337090846]]]}"
00000000000000000077,3117.00488783597,13.047342437775539,0,120,Myotis keaysi,1993,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.86419444922947,-17.21623536924538],[-65.85483554918633,-17.21623536924538],[-65.85483554918633,-17.207238232432612],[-65.86419444922947,-17.207238232432612],[-65.86419444922947,-17.21623536924538]]]}"
000000000000000000aa,3185.3559327184903,25.90893622750563,0,171,Lasiurus intermedius,1993,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-69.94759751283544,-4.226735768456915],[-69.93863339870371,-4.226735768456915],[-69.93863339870371,-4.2177386316121135],[-69.94759751283544,-4.2177386316121135],[-69.94759751283544,-4.226735768456915]]]}"
000000000000000000f2,4066.575403432377,19.546345632584366,0,243,Akodon fumeus,1993,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-65.54049304422934,-17.14153650839825],[-65.53113791448601,-17.14153650839825],[-65.53113791448601,-17.13253937158529],[-65.54049304422934,-17.13253937158529],[-65.54049304422934,-17.14153650839825]]]}"
