"","row_code","farming","forest_formation","flooded_forest","non_forested_natural","river_lake_ocean","grassland","other_non_vegetated","not_observed","wetland","urban","savannah_formation","rocky_outcrop","glacier"
"101",103,0.0112473931762695,0.14103891496693,0,0,0,0.8179692570237,0,0,0,0,0,0,0
"102",104,0,0.9706831150697,0,0,0,0,0,0,0,0,0,0,0
"103",105,0,0.957891726045495,0,0,0,0,0,0,0,0,0,0,0
"104",106,0,0.969467548881743,0,0,0,0,0,0,0,0,0,0,0
"105",107,0,0,0,0,0,0.020848561920166,0,0,0.9620714808496,0,0,0,0
"106",108,0,0.951708222878896,0,0,0.0258847654667438,0,0,0,0,0,0,0,0
"107",109,0.518163373921929,0.280334617712337,0.132688095488686,0,0.040415908886697,0,0.00693866481726154,0,0,0,0,0,0
"108",110,0,0.978811507029817,0,0,0,0,0,0,0,0,0,0,0
"109",111,0.0654915434708267,0.913710416762952,0,0,0,0,0.00535216571044922,0,0,0,0,0,0
"110",112,0,0.0032858005555396,0.988157364117294,0,0.00444733162434896,0,0,0,0,0,0,0,0
"111",113,0.163759413851651,0.80929275979337,0,0,0,0,0,0,0,0,0,0,0
"112",114,0,0.978059511840106,0,0,0,0,0,0,0,0,0,0,0
"113",115,0.00966882351318359,0.966812856050423,0,0,0,0,0,0,0,0,0,0,0
"114",117,0.00710234228515625,0.976768176879168,0,0,0,0,0,0,0,0,0,0,0
"115",118,0,0.973052173645022,0,0,0,0,0,0,0,0,0,0,0
"116",119,0,0.987284891339229,0,0,0,0,0,0,0,0,0,0,0
"117",120,0.00875608257256516,0.977012822767612,0,0,0,0,0,0,0,0,0,0,0
"118",121,0,0.978059511840106,0,0,0,0,0,0,0,0,0,0,0
"119",122,0,0.926619153428657,0,0,0,0.053011059346604,0,0,0,0,0,0,0
"120",123,0,0.990306181868016,0,0,0,0,0,0,0,0,0,0,0
"121",124,0.604530465219145,0.217985138742898,0.15721874667823,0,0,0,0,0,0,0,0,0,0
"122",125,0,0.0170969174625172,0,0.00608087884521484,0,0.799910839171384,0,0,0.153277590932787,0,0,0,0
"123",126,0,0.968568166703288,0,0,0,0,0,0,0,0,0,0,0
"124",127,0.604530465219145,0.217985138742898,0.15721874667823,0,0,0,0,0,0,0,0,0,0
"125",128,0,0.973513473499102,0.029639504872999,0,0,0,0,0,0,0,0,0,0
"126",129,0.0716113464244496,0.732315066001198,0,0,0,0.1613012966697,0.00258273522949219,0,0,0,0,0,0
"127",130,0,0,0,0,0,0.698999005268541,0.282868993022474,0,0,0,0,0,0
"128",131,0,0.530740162206748,0,0.00927469568110447,0,0.41578005865348,0.0369510125946752,0,0,0,0,0,0
"129",132,0,0.978738249496404,0,0,0,0,0,0,0,0,0,0,0
"130",134,0.0902834649196251,0,0,0,0,0.918315447484848,0.0423260801652714,0,0,0,0,0,0
"131",135,0.526498141376978,0.503922231625155,0,0,0,0,0,0,0,0,0,0,0
"132",136,0,0.978811507029817,0,0,0,0,0,0,0,0,0,0,0
"133",137,0,0.971038059814451,0,0,0,0,0,0,0,0,0,0,0
"134",138,0,0.965540777404783,0,0,0.00430445428466797,0,0,0,0,0,0,0,0
"135",139,0,0.97664190498526,0,0,0,0,0,0,0,0,0,0,0
