scientificName,year,lon,lat,presence,row_code,species
Bradypus tridactylus,1966,-62.25,7,1,170,Bradypus tridactylus
Bradypus tridactylus,1966,-62.37,7.18,1,171,Bradypus tridactylus
Bradypus tridactylus,1966,-61.32,6.28,1,172,Bradypus tridactylus
Bradypus tridactylus,1962,-55.416668,5.783333,1,173,Bradypus tridactylus
Bradypus tridactylus,1962,-58.75,3.3,1,174,Bradypus tridactylus
Bradypus tridactylus,1962,-59.51666,2.83333,1,175,Bradypus tridactylus
Bradypus tridactylus,1961,-55.166668,5.833334,1,176,Bradypus tridactylus
Bradypus tridactylus,1961,-55.466667,5.15,1,177,Bradypus tridactylus
Bradypus tridactylus,1960,-55.032204,3.271144,1,178,Bradypus tridactylus
Bradypus tridactylus,1952,-58.05,5.28333,1,179,Bradypus tridactylus
Bradypus tridactylus,1952,-54.03111,5.49944,1,180,Bradypus tridactylus
Bradypus tridactylus,1938,-48.366667,-1.366667,1,181,Bradypus tridactylus
Bradypus tridactylus,1936,-66.17,-0.85,1,182,Bradypus tridactylus
Bradypus tridactylus,1932,-55.126199,-3.088275,1,183,Bradypus tridactylus
Bradypus tridactylus,1929,-61.6214,-3.0526,1,184,Bradypus tridactylus
Bradypus tridactylus,1924,-58.9,5.36667,1,185,Bradypus tridactylus
Bradypus tridactylus,1923,-60.025276,-3.113333,1,186,Bradypus tridactylus
Bradypus tridactylus,1921,-55.284217,5.874427,1,187,Bradypus tridactylus
Bradypus tridactylus,1914,-58.3,6.43333,1,188,Bradypus tridactylus
Bradypus tridactylus,1890,-58.2,6.8,1,189,Bradypus tridactylus
Aotus miconax,2009,-77.919421,-5.641537,0,190,background species
Rhipidomys macconnelli,2004,-59.866921,5.065463,0,191,background species
Sapajus libidinosus,2011,-56.629921,-13.543137,0,192,background species
Cebuella pygmaea,2020,-76.276021,-0.578537,0,193,background species
Nasua nasua,2021,-53.824521,5.613263,0,194,background species
Cebus yuracus,2021,-76.151521,-0.072237,0,195,background species
Sturnira tildae,2017,-74.674121,0.143563,0,196,background species
Tapirus pinchaque,2016,-76.641221,1.869963,0,197,background species
Lagothrix flavicauda,2011,-77.612321,-5.624937,0,198,background species
Chiropotes satanas,2019,-46.902321,-3.765737,0,199,background species
Saimiri cassiquiarensis,2022,-70.300021,-3.798937,0,200,background species
Caluromys philander,1962,-55.418121,5.779263,0,201,background species
Ctenomys steinbachi,1938,-63.668321,-17.452437,0,202,background species
Chiropotes albinasus,2016,-58.638521,-8.961537,0,203,background species
Proechimys longicaudatus,1964,-66.880421,-14.165637,0,204,background species
Sciurus igniventris,1931,-78.550221,-5.500437,0,205,background species
Cormura brevirostris,1967,-65.768221,3.646163,0,206,background species
Saguinus midas,2019,-55.177421,5.414063,0,207,background species
Tremarctos ornatus,2021,-78.060521,-1.574537,0,208,background species
Didelphis pernigra,2022,-77.877921,-0.528737,0,209,background species
Thyroptera tricolor,2019,-55.185721,4.982463,0,210,background species
Marmosa murina,1978,-65.353221,-16.946137,0,211,background species
Cuniculus paca,2022,-52.679121,4.086063,0,212,background species
Lagothrix lagothricha,2021,-76.035321,-0.653237,0,213,background species
Anoura caudifer,2016,-69.370421,-12.854237,0,214,background species
Micronycteris megalotis,2013,-76.715921,-5.857337,0,215,background species
Saimiri cassiquiarensis,2021,-75.603721,1.637563,0,216,background species
Saimiri cassiquiarensis,2021,-76.906821,0.118663,0,217,background species
Proechimys oconnelli,2016,-73.786021,2.309863,0,218,background species
Saccopteryx bilineata,2021,-66.100221,-11.028237,0,219,background species
Pteronura brasiliensis,2019,-52.521421,3.944963,0,220,background species
Thomasomys daphne,1984,-72.350121,-13.111537,0,221,background species
Saimiri boliviensis,2018,-70.681821,-12.464137,0,222,background species
Tapirus terrestris,2022,-52.264121,-13.119837,0,223,background species
Ateles belzebuth,2022,-77.687021,-1.059937,0,224,background species
Coendou prehensilis,2016,-66.465421,-11.385137,0,225,background species
