scientificName,year,lon,lat,presence,row_code
Poecilotriccus albifacies,2017,-69.039239,-12.606893,0,128
Myiopagis gaimardii,2021,-69.130239,-12.564893,0,129
Poecilotriccus albifacies,2009,-71.233239,-12.649893,0,130
Inezia inornata,2021,-69.149239,-12.693893,0,131
Inezia inornata,2020,-69.205239,-12.587893,0,132
Poecilotriccus albifacies,2013,-69.677239,-12.046893,0,133
Poecilotriccus albifacies,2017,-69.322239,-12.786893,0,134
Poecilotriccus albifacies,2009,-70.800239,-12.299893,0,135
Ornithion inerme,2021,-69.536239,-12.408893,0,136
Poecilotriccus albifacies,2012,-70.966239,-12.200893,0,137
Myiopagis gaimardii,2021,-69.043239,-12.525893,0,138
Poecilotriccus latirostris,2021,-69.619239,-10.997893,0,139
Ornithion inerme,2021,-70.143239,-11.342893,0,140
Poecilotriccus latirostris,2021,-69.140239,-12.590893,0,141
Ornithion inerme,2021,-69.523239,-12.053893,0,142
Poecilotriccus albifacies,2016,-71.240239,-12.631893,0,143
Todirostrum chrysocrotaphum,2022,-69.168239,-12.500893,0,144
Ornithion inerme,2021,-70.143239,-11.342893,0,145
Inezia inornata,2020,-69.205239,-12.587893,0,146
Poecilotriccus latirostris,2021,-69.616239,-11.009893,0,147
Todirostrum chrysocrotaphum,2021,-70.150239,-11.346893,0,148
Mionectes macconnelli,2019,-69.488239,-12.859893,0,149
Inezia inornata,2020,-69.203239,-12.578893,0,150
Poecilotriccus albifacies,2017,-69.322239,-12.786893,0,151
Ornithion inerme,2021,-69.089239,-12.477893,0,152
Elaenia gigas,2021,-71.388239,-12.819893,0,153
Poecilotriccus albifacies,2012,-69.300239,-12.802893,0,154
Poecilotriccus albifacies,2019,-70.706239,-12.355893,0,155
Poecilotriccus albifacies,2012,-70.722239,-12.333893,0,156
Poecilotriccus latirostris,2021,-69.936239,-13.037893,0,157
Poecilotriccus latirostris,2021,-69.197239,-12.556893,0,158
Poecilotriccus albifacies,2012,-69.300239,-12.802893,0,159
Poecilotriccus pulchellus,2018,-71.407239,-12.869893,0,160
Poecilotriccus latirostris,2021,-69.941239,-13.034893,0,161
Todirostrum maculatum,2021,-69.172239,-12.593893,0,162
Poecilotriccus latirostris,2021,-69.197239,-12.506893,0,163
Todirostrum chrysocrotaphum,2021,-69.043239,-12.529893,0,164
Ornithion inerme,2021,-69.697239,-11.080893,0,165
Poecilotriccus albifacies,2012,-69.300239,-12.802893,0,166
Poecilotriccus albifacies,2019,-69.032239,-12.605893,0,167
Poecilotriccus latirostris,2021,-69.615239,-11.000893,0,168
Poecilotriccus albifacies,2018,-71.400239,-12.872893,0,169
Todirostrum maculatum,2021,-69.172239,-12.593893,0,170
Poecilotriccus latirostris,2021,-69.638239,-11.022893,0,171
Poecilotriccus albifacies,2013,-71.232239,-12.652893,0,172
Poecilotriccus latirostris,2021,-69.624239,-11.009893,0,173
Poecilotriccus latirostris,2021,-69.629239,-11.013893,0,174
Poecilotriccus albifacies,2017,-70.704239,-12.426893,0,175
