system:index,bio10_temp_warmest_qt,bio13_precip_wettest_month,cmi_min,presence,row_code,scientificName,year,.geo
000000000000000000ef,2987.0,349.82461991052907,542.8921161825726,0,240,Leontocebus nigricollis,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.2970824187714,-0.599636085076847],[-76.28814215177376,-0.599636085076847],[-76.28814215177376,-0.5906389482234347],[-76.2970824187714,-0.5906389482234347],[-76.2970824187714,-0.599636085076847]]]}"
00000000000000000107,2859.0207468879667,247.7820371255835,-487.0082987551868,0,264,Lagothrix flavicauda,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.79110465244607,-5.803732528812711],[-77.78211887819901,-5.803732528812711],[-77.78211887819901,-5.7947353919716775],[-77.79110465244607,-5.7947353919716775],[-77.79110465244607,-5.803732528812711]]]}"
0000000000000000011b,2915.9375,409.88094406127937,-350.9416666666666,0,284,Lagothrix flavicauda,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.72043320174046,-8.418232790372285],[-76.71139615253614,-8.418232790372285],[-76.71139615253614,-8.409235653537543],[-76.72043320174046,-8.409235653537543],[-76.72043320174046,-8.418232790372285]]]}"
00000000000000000144,2992.0,468.64202754230416,101.57676348547719,0,325,Plecturocebus caquetensis,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.56668646346748,0.9192630476537699],[-75.55774551698036,0.9192630476537699],[-75.55774551698036,0.9282601845107816],[-75.56668646346748,0.9282601845107816],[-75.56668646346748,0.9192630476537699]]]}"
00000000000000000151,2992.3734439834025,471.9410924634499,174.87966804979254,0,338,Pithecia milleri,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.64138533478423,0.9275658938152662],[-75.63244436731343,0.9275658938152662],[-75.63244436731343,0.9365630306722975],[-75.64138533478423,0.9365630306722975],[-75.64138533478423,0.9275658938152662]]]}"
0000000000000000016a,2942.1203319502074,264.5172209680328,-713.8589211618257,0,363,Aotus nancymaae,2009,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-76.89471780787454,-7.2396344136356925],[-76.88570626906376,-7.2396344136356925],[-76.88570626906376,-7.230637276798106],[-76.89471780787454,-7.230637276798106],[-76.89471780787454,-7.2396344136356925]]]}"
0000000000000000006c,3002.0,587.1584470123671,-1456.7178423236514,0,109,Bubalus bubalis,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-50.77458691869973,2.2555664513472613],[-50.7656401750161,2.2555664513472613],[-50.7656401750161,2.2645635882074417],[-50.77458691869973,2.2645635882074417],[-50.77458691869973,2.2555664513472613]]]}"
0000000000000000007b,3004.4500000000003,416.7682240804037,-1118.2833333333333,0,124,Cebus olivaceus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-52.50929016064662,2.687167301410317],[-52.50034050248093,2.687167301410317],[-52.50034050248093,2.696164438271522],[-52.50929016064662,2.696164438271522],[-52.50929016064662,2.687167301410317]]]}"
0000000000000000008b,2971.0291666666662,422.7029947916667,-1090.725,0,140,Lonchophylla thomasi,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.08199167176395,3.027463598303231],[-53.073039356072364,3.027463598303231],[-53.073039356072364,3.036460735165244],[-53.08199167176395,3.036460735165244],[-53.08199167176395,3.027463598303231]]]}"
000000000000000000a5,2996.325,399.531960550944,-1159.0208333333333,0,166,Priodontes maximus,2010,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-53.223088809720004,2.438166639485437],[-53.21414089518372,2.438166639485437],[-53.21414089518372,2.447163776346051],[-53.223088809720004,2.447163776346051],[-53.223088809720004,2.438166639485437]]]}"
