row_code,farming,flooded_forest,grassland,other_non_vegetated,urban,wetland,forest_formation,river_lake_ocean,not_observed,mangrove,non_forested_natural,savannah_formation,rocky_outcrop,mining
110,0,0,0,0,0,0,0.962963869,0.001130518,0,0,0,0,0,0
111,0.133984045,0,0.068953353,0,0,0,0.774925333,0,0,0,0,0,0,0
112,0,0,0.008884251,0,0,0,0.975623759,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0.983396727,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0.884493372,0.098817817,0,0,0,0,0,0
115,0,0,0,0,0,0,0.983119361,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0.909779564,0.052423428,0,0,0,0,0,0
117,0,0,0,0,0,0,0.963128205,0.002552401,0,0,0,0,0,0
118,0,0,0,0,0,0,0.976300705,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0.977796613,0,0,0,0,0,0,0
120,0.01874438,0,0,0,0,0,0.844342603,0.119414373,0,0,0,0,0,0
121,0,0,0,0,0,0,0.972409655,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0.966305253,0,0,0,0,0,0,0
123,0,0,0.008038783,0,0,0,0.90107613,0.067964299,0,0,0,0,0,0
124,0,0,0,0,0,0,0.378569557,0.588500332,0,0,0,0,0,0
125,0,0,0,0.001785115,0,0,0.813117581,0.151896805,0,0,0,0,0,0
126,0,0,0,0,0,0,0.964100625,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0.990278273,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0.976307067,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0.990174802,0,0,0,0,0,0,0
130,0,0,0.023949919,0,0,0,0.760800696,0.192534116,0.000893048,0,0,0,0,0
131,0,0,0,0,0,0,0.99010049,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0.972072486,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0.978682253,0,0,0,0,0,0,0
134,0.004458873,0,0.001054735,0,0,0,0.844497638,0.11959091,0,0,0,0,0,0
135,0,0,0,0,0,0,0.983711082,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0.963986076,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0.963609193,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0.980478722,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0.977309475,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0.970560805,0,0,0,0,0,0,0
141,0,0.154176438,0,0,0,0,0.816336298,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0.975621375,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0.975763389,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0.977547994,0,0,0,0,0,0,0
145,0.011574227,0.134855359,0.641882291,0.002967741,0,0.105281555,0.079302972,0,0,0,0,0,0,0
146,0.015722601,0,0.020620855,0,0.934886321,0,0.007175936,0,0,0,0,0,0,0
147,0.91548826,0,0,0,0,0,0.060052815,0,0,0,0,0,0,0
148,0.019865943,0,0.027139461,0.005348552,0,0,0.687696456,0.249752017,0,0,0,0,0,0
149,0,0,0,0,0,0,0.981795965,0,0,0,0,0,0,0
150,0,0,0.005996907,0,0,0,0.978397161,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0.969900063,0,0,0,0,0,0,0
152,0.414299694,0.228279311,0,0,0,0.109645277,0.225538098,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0.981390643,0,0,0,0,0,0,0
154,0.021139952,0,0.015304331,0,0,0.003571015,0.237445342,0.707839312,0,0,0,0,0,0
155,0.031175792,0.054017457,0,0.022592323,0.150939502,0.006067986,0.014170761,0,0.001705259,0.002672217,0,0,0,0
156,0.056800498,0.058691207,0,0,0,0.21475893,0,0.097850831,0,0.578731687,0,0,0,0
157,0,0,0.024950346,0,0,0,0.765276791,0.187031456,0,0,0,0,0,0
158,0.027187085,0,0,0,0.125060537,0,0.819911056,0,0,0,0,0,0,0
159,0.006903719,0.677837208,0,0,0,0.023936386,0.126297132,0,0,0.134660605,0,0,0,0
160,0.031262235,0.590741837,0.00472169,0,0,0.093543576,0.250339309,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0.978697395,0,0,0,0,0,0,0
162,0.008439392,0,0,0,0.860118326,0,0.103647922,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0.969450528,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0.970531215,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0.978714488,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0.965068882,0,0,0,0,0,0,0
167,0.032711565,0.217105426,0,0.011571455,0,0.013129118,0.731343475,0,0,0,0,0,0,0
168,0,0,0,0,0.978907761,0,0,0,0,0,0,0,0,0
169,0.046947187,0,0,0.076172049,0.8422765,0,0.011591024,0.002888777,0,0,0,0,0,0
170,0,0,0.014791569,0,0,0,0.974844314,0,0,0,0,0,0,0
171,0.460262329,0,0.171586899,0,0,0,0.34700119,0,0,0,0,0,0,0
172,0.282301605,0,0.006354907,0,0,0,0.702900711,0,0,0,0,0,0,0
173,0,0.921311188,0,0,0,0,0.05448557,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0.982587039,0,0,0,0,0,0,0
175,0,0,0.866286512,0,0,0.008036194,0.087586458,0.016315887,0,0,0,0,0,0
176,0.152594623,0,0.007412248,0.250059968,0.568262917,0.008005252,0,0,0.000889474,0,0,0,0,0
177,0.014218114,0,0,0.000890465,0,0.009917265,0.962233906,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0.978057393,0,0,0,0,0,0,0
179,0,0.40762409,0.006677043,0,0,0,0.556181498,0,0,0,0,0,0,0
180,0.027233153,0.074191435,0,0.014482249,0.654370335,0.024029203,0,0.177346312,0,0,0,0,0,0
181,0.05043963,0,0,0,0.783452488,0,0.131866983,0.004468643,0,0,0,0,0,0
182,0,0,0,0,0,0,0.983127014,0,0,0,0,0,0,0
183,0.469448146,0,0.061081409,0,0,0.064843264,0.1618735,0.221385974,0,0,0,0,0,0
184,0.001617429,0,0.026544763,0,0,0,0.000724692,0.958578964,0,0,0,0,0,0
185,0,0.048585294,0,0.0357391,0,0,0.479780706,0.413888174,0,0,0,0,0,0
186,0,0,0,0,0.968328026,0,0,0,0,0,0,0,0,0
187,0,0.977968977,0,0,0,0.001988098,0,0,0,0,0,0,0,0
188,0,0.984609882,0,0,0,0.001419491,0,0.004984718,0,0,0,0,0,0
189,0.892198677,0.056735788,0.011542094,0.006692881,0,0.015946574,0,0,0,0,0,0,0,0
190,0.020845852,0,0,0,0,0,0.94651614,0,0,0,0.014236069,0,0,0
191,0,0,0,0,0,0,0.975418821,0,0,0,0,0,0,0
192,0.044934086,0,0,0,0,0.006668115,0.868420894,0.057479249,0,0,0,0.008153916,0,0
193,0,0,0,0,0,0,0.971986641,0,0,0,0,0,0,0
194,0.594115366,0.358588306,0.002899691,0,0.020933469,0.016278149,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0.984875782,0,0,0,0,0,0,0
196,0.017391823,0.292489898,0,0.004469862,0,0,0.006989238,0.655448718,0,0,0,0,0,0
197,0.011261417,0,0,0,0,0,0.955994836,0,0,0,0,0,0,0
198,0.108402778,0,0,0,0,0,0.872342279,0.009418012,0,0,0,0,0,0
199,0.181535548,0,0,0,0,0,0.797115159,0,0,0,0,0,0,0
200,0.065032995,0.231774133,0,0.013380957,0,0,0.630647539,0.039899575,0,0,0,0,0,0
201,0,0.909568515,0,0,0,0,0.066371119,0.000687228,0,0,0,0,0,0
202,0.640572511,0,0,0,0.180366926,0,0.164895706,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0.990515251,0,0,0,0,0,0,0
204,0.134941069,0.049494047,0.769050754,0,0,0,0.01734994,0.005014359,0,0,0,0,0,0
205,0,0,0.024362286,0.201057984,0,0,0.000889974,0,0,0,0.754957594,0,0,0
206,0,0,0,0,0,0,0.910275691,0,0,0,0.092036196,0,0.015403813,0
207,0.00623069,0.041834637,0.04361457,0.41692789,0,0.001780183,0.475651436,0,0,0,0,0,0,0
208,0.518907382,0,0,0.003127759,0,0,0.264515754,0.183522507,0,0,0,0,0,0
209,0.348683685,0,0,0,0,0,0.623651255,0.010744466,0,0,0,0,0,0
210,0,0,0,0,0,0,0.990227351,0,0,0,0,0,0,0
211,0.682277008,0,0.003424533,0.126660354,0,0,0.15792568,0.016837133,0,0,0,0,0,0
212,0,0,0,0,0,0,0.979516331,0,0,0,0,0,0,0
213,0.010727021,0,0,0,0,0,0.854628487,0.126397206,0,0,0,0,0,0
214,0.051942053,0.745349104,0,0,0,0,0.121867363,0.050815069,0,0,0,0,0,0
215,0.063849173,0,0,0.00711542,0,0,0.907411242,0.004514574,0,0,0,0,0,0
216,0.620276592,0,0,0.02077665,0.116008246,0,0.210368106,0.007148955,0,0,0,0,0,0
217,0.53975869,0,0,0,0,0,0.305754132,0.123049284,0,0,0,0,0,0
218,0.001481772,0,0.008249588,0,0,0,0.962680317,0,0,0,0.026606942,0,0,0
